hedef,ufuk,sera,esik_turu,kural,esik,yon,risk,aksiyon,kisit,guven,guven_gerekce,aralik_genislik,kaynak
Tair,3h,TheAutomators,ZARF,Tair > 26.600,26.6,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,TheAutomators,ZARF,Tair < 16.900,16.9,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,TUMU,HASAR,Tair > 35.0,35.0,yuksek,Yuksek sicaklikta protein denaturasyonu ve polen sterilitesi,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,literatur (TASLAK — teyit edilecek)
Tair,3h,TUMU,HASAR,Tair < 10.0,10.0,dusuk,"Dusuk sicaklikta buyume durur, soguk hasari riski",Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,literatur (TASLAK — teyit edilecek)
Tair,6h,AICU,ZARF,Tair > 27.900,27.9,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,AICU,ZARF,Tair < 17.900,17.9,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,Automatoes,ZARF,Tair > 31.100,31.1,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,Automatoes,ZARF,Tair < 16.400,16.4,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,Digilog,ZARF,Tair > 28.200,28.2,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,Digilog,ZARF,Tair < 17.300,17.3,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,IUACAAS,ZARF,Tair > 28.400,28.4,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,IUACAAS,ZARF,Tair < 15.700,15.7,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,Reference,ZARF,Tair > 27.900,27.9,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,Reference,ZARF,Tair < 16.000,16.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,TheAutomators,ZARF,Tair > 26.600,26.6,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,TheAutomators,ZARF,Tair < 16.900,16.9,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,veri (sera p5-p95)
Tair,6h,TUMU,HASAR,Tair > 35.0,35.0,yuksek,Yuksek sicaklikta protein denaturasyonu ve polen sterilitesi,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,literatur (TASLAK — teyit edilecek)
Tair,6h,TUMU,HASAR,Tair < 10.0,10.0,dusuk,"Dusuk sicaklikta buyume durur, soguk hasari riski",Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.91, aralik/deger %27",5.829,literatur (TASLAK — teyit edilecek)
Rhair,3h,AICU,ZARF,Rhair > 94.500,94.5,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,AICU,ZARF,Rhair < 65.800,65.8,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,Automatoes,ZARF,Rhair > 92.800,92.8,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,Automatoes,ZARF,Rhair < 67.900,67.9,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,Digilog,ZARF,Rhair > 91.500,91.5,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,Digilog,ZARF,Rhair < 63.200,63.2,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,IUACAAS,ZARF,Rhair > 95.100,95.1,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,IUACAAS,ZARF,Rhair < 66.300,66.3,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,Reference,ZARF,Rhair > 94.200,94.2,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,Reference,ZARF,Rhair < 54.800,54.8,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,TheAutomators,ZARF,Rhair > 93.300,93.3,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,TheAutomators,ZARF,Rhair < 55.100,55.1,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,veri (sera p5-p95)
Rhair,3h,TUMU,HASAR,Rhair > 95.0,95.0,yuksek,"Yaprak yuzeyinde yogusma, mantar enfeksiyonu icin ideal kosul",— aksiyon tanimlanmadi,—,KALITATIF,"kapsama 0.98, aralik/deger %49",41.71,literatur (TASLAK — teyit edilecek)
Rhair,6h,AICU,ZARF,Rhair > 94.500,94.5,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,AICU,ZARF,Rhair < 65.800,65.8,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,Automatoes,ZARF,Rhair > 92.800,92.8,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,Automatoes,ZARF,Rhair < 67.900,67.9,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,Digilog,ZARF,Rhair > 91.500,91.5,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,Digilog,ZARF,Rhair < 63.200,63.2,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,IUACAAS,ZARF,Rhair > 95.100,95.1,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,IUACAAS,ZARF,Rhair < 66.300,66.3,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,Reference,ZARF,Rhair > 94.200,94.2,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,Reference,ZARF,Rhair < 54.800,54.8,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,TheAutomators,ZARF,Rhair > 93.300,93.3,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,TheAutomators,ZARF,Rhair < 55.100,55.1,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,veri (sera p5-p95)
Rhair,6h,TUMU,HASAR,Rhair > 95.0,95.0,yuksek,"Yaprak yuzeyinde yogusma, mantar enfeksiyonu icin ideal kosul",— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.688 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",47.899,literatur (TASLAK — teyit edilecek)
CO2air,3h,AICU,ZARF,CO2air > 1075.000,1075.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,AICU,ZARF,CO2air < 492.000,492.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Automatoes,ZARF,CO2air > 989.900,989.9,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Automatoes,ZARF,CO2air < 490.000,490.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Digilog,ZARF,CO2air > 793.000,793.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Digilog,ZARF,CO2air < 406.000,406.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,IUACAAS,ZARF,CO2air > 872.000,872.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,IUACAAS,ZARF,CO2air < 427.000,427.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Reference,ZARF,CO2air > 916.000,916.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Reference,ZARF,CO2air < 468.000,468.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,TheAutomators,ZARF,CO2air > 998.000,998.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,TheAutomators,ZARF,CO2air < 465.000,465.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,6h,AICU,ZARF,CO2air > 1075.000,1075.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,AICU,ZARF,CO2air < 492.000,492.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,Automatoes,ZARF,CO2air > 989.900,989.9,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,Automatoes,ZARF,CO2air < 490.000,490.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,Digilog,ZARF,CO2air > 793.000,793.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,Digilog,ZARF,CO2air < 406.000,406.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,IUACAAS,ZARF,CO2air > 872.000,872.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,IUACAAS,ZARF,CO2air < 427.000,427.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,Reference,ZARF,CO2air > 916.000,916.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,Reference,ZARF,CO2air < 468.000,468.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,TheAutomators,ZARF,CO2air > 998.000,998.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
CO2air,6h,TheAutomators,ZARF,CO2air < 465.000,465.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,— aksiyon tanimlanmadi,—,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.774 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",789.733,veri (sera p5-p95)
HumDef,3h,AICU,ZARF,HumDef > 7.800,7.8,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Nemlendirme veya havalandirmayi azalt,Yuksek nem mantar riskini artirir,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.749 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",11.01,veri (sera p5-p95)
HumDef,3h,AICU,ZARF,HumDef < 0.900,0.9,dusuk,Bu seranin normal calisma araliginin altina iniyor,Havalandirma veya isitma ile nem acigini yukselt,Ikisi de enerji maliyeti yaratir,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.749 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",11.01,veri (sera p5-p95)
HumDef,3h,Automatoes,ZARF,HumDef > 8.300,8.3,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Nemlendirme veya havalandirmayi azalt,Yuksek nem mantar riskini artirir,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.749 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",11.01,veri (sera p5-p95)
HumDef,3h,Automatoes,ZARF,HumDef < 1.200,1.2,dusuk,Bu seranin normal calisma araliginin altina iniyor,Havalandirma veya isitma ile nem acigini yukselt,Ikisi de enerji maliyeti yaratir,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.749 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",11.01,veri (sera p5-p95)
HumDef,3h,Digilog,ZARF,HumDef > 8.500,8.5,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Nemlendirme veya havalandirmayi azalt,Yuksek nem mantar riskini artirir,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.749 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",11.01,veri (sera p5-p95)
HumDef,3h,Digilog,ZARF,HumDef < 1.400,1.4,dusuk,Bu seranin normal calisma araliginin altina iniyor,Havalandirma veya isitma ile nem acigini yukselt,Ikisi de enerji maliyeti yaratir,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.749 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",11.01,veri (sera p5-p95)
HumDef,3h,IUACAAS,ZARF,HumDef > 8.300,8.3,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Nemlendirme veya havalandirmayi azalt,Yuksek nem mantar riskini artirir,KALITATIF,"backtest_kaniti: sureli-pencere precision=0.749 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",11.01,veri (sera p5-p95)
