hedef,ufuk,sera,esik_turu,mevsim,kural,esik,yon,risk,aksiyon,kisit,guven,guven_gerekce,aralik_genislik,kaynak
CO2air,3h,Automatoes,ZARF,tumu,CO2air < 490.000,490.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Automatoes,ZARF,tumu,CO2air > 989.900,989.9,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Digilog,ZARF,ilkbahar,CO2air < 366.000,366.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Digilog,ZARF,ilkbahar,CO2air > 762.000,762.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Digilog,ZARF,kis,CO2air < 467.000,467.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Digilog,ZARF,kis,CO2air > 822.000,822.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Digilog,ZARF,tumu,CO2air < 406.000,406.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Digilog,ZARF,tumu,CO2air > 793.000,793.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,IUACAAS,ZARF,ilkbahar,CO2air < 404.000,404.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,IUACAAS,ZARF,ilkbahar,CO2air > 838.000,838.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,IUACAAS,ZARF,kis,CO2air < 490.000,490.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,IUACAAS,ZARF,kis,CO2air > 893.000,893.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,IUACAAS,ZARF,tumu,CO2air < 427.000,427.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,IUACAAS,ZARF,tumu,CO2air > 872.000,872.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Reference,ZARF,ilkbahar,CO2air < 451.000,451.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Reference,ZARF,ilkbahar,CO2air > 945.000,945.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Reference,ZARF,kis,CO2air < 493.000,493.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Reference,ZARF,kis,CO2air > 681.000,681.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,"veri (sera p5-p95, mevsim ici)"
CO2air,3h,Reference,ZARF,tumu,CO2air < 468.000,468.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,"Once havalandirma konumuna bak: pencereler genis acikken dozlanan CO2 disari kacar, dozaj artirma. Dozaji yalnizca pencereler kapaliyken VE isik varken artir.","OLCULDU (Automatoes + TheAutomators, tam sezon 47.809'ar adim): CO2air dusuk olaylarinin %86.3-91.8'i havalandirma acikken gerceklesti; pencere aciklik toplami >%100 iken CO2air medyani dis ortam seviyesine iniyor (427 / 515 ppm). 'Pencere kapali VE isik var' kosulu Automatoes'ta 53, TheAutomators'ta 0 adimda gorüldü. Olayin isik rejimi seradan seraya degisiyor (Automatoes ort Iglob 659, TheAutomators 8) — tek seradan genellenmemeli. Iliski gozlemsel, nedensel iddia yok.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
CO2air,3h,Reference,ZARF,tumu,CO2air > 916.000,916.0,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,"Dozaj hizini gozden gecir: dusuk isikta biriken CO2 bitki tarafindan kullanilamaz, maliyeti kalir.","OLCULDU (Automatoes, 275 adim): CO2air yuksek anlarinda ortalama co2_dos genel ortalamanin %50 ustunde (0.00342 vs 0.00228), pencereler kapali (ort aciklik %0.4), isik dusuk (ort Iglob 54). TheAutomators'ta bu durum hic gorulmedi (0 adim). Ekonomik CO2 esigi kurali (co2_esik_egilimi) ile ayni yonde — celiskili degil.",KALITATIF,"backtest_kaniti: sureli-pencere precision=0.766 (kalibrasyon testi KAPSAM_DISI derken, gercek geriye-donuk performans KALITATIF seviyesini destekliyor)",817.159,veri (sera p5-p95)
